"timestamp","rainfall","stormwater"
2024-04-01 13:08:00,0,41.329
2024-04-01 13:09:00,0,42.345
2024-04-01 13:10:00,0,41.683
2024-04-01 13:11:00,0,42.264
2024-04-01 13:12:00,0,42.271
2024-04-01 13:13:00,0,42.04
2024-04-01 13:14:00,0,42.994
2024-04-01 13:15:00,0,43.15
2024-04-01 13:16:00,0,43.055
2024-04-01 13:17:00,0,43.236
2024-04-01 13:18:00,0,43.426
2024-04-01 13:19:00,0,43.132
2024-04-01 13:20:00,0,43.459
2024-04-01 13:21:00,0,44.177
2024-04-01 13:22:00,0,44.556
2024-04-01 13:23:00,0,44.385
2024-04-01 13:24:00,0,44.172
2024-04-01 13:25:00,0,44.316
2024-04-01 13:26:00,0,44.333
2024-04-01 13:27:00,0,44.506
2024-04-01 13:28:00,0,44.745
2024-04-01 13:29:00,0,44.907
2024-04-01 13:30:00,0,44.748
2024-04-01 13:31:00,0,44.92
2024-04-01 13:32:00,0,45.152
2024-04-01 13:33:00,0,45.154
2024-04-01 13:34:00,0,45.783
2024-04-01 13:35:00,0,45.251
2024-04-01 13:36:00,0,45.875
2024-04-01 13:37:00,0,45.835
2024-04-01 13:38:00,0,46.097
2024-04-01 13:39:00,0,45.702
2024-04-01 13:40:00,0,45.932
2024-04-01 13:41:00,0,46.181
2024-04-01 13:42:00,0,46.607
2024-04-01 13:43:00,0,45.928
2024-04-01 13:44:00,0,46.331
2024-04-01 13:45:00,0,46.288
2024-04-01 13:46:00,0,46.171
2024-04-01 13:47:00,0,46.584
2024-04-01 13:48:00,0,46.436
2024-04-01 13:49:00,0,46.422
2024-04-01 13:50:00,0,46.74
2024-04-01 13:51:00,0,47.268
2024-04-01 13:52:00,0,47.27
2024-04-01 13:53:00,0,47.01
2024-04-01 13:54:00,0,46.914
2024-04-01 13:55:00,0,46.908
2024-04-01 13:56:00,0,47.398
2024-04-01 13:57:00,0,47.565
2024-04-01 13:58:00,0,47.109
2024-04-01 13:59:00,0,47.396
2024-04-01 14:00:00,0,46.936
2024-04-01 14:01:00,0,47.313
2024-04-01 14:02:00,0,48.149
2024-04-01 14:03:00,0,47.42
2024-04-01 14:04:00,0,47.552
2024-04-01 14:05:00,0,48.374
2024-04-01 14:06:00,0,47.909
2024-04-01 14:07:00,0,48.136
2024-04-01 14:08:00,0,48.326
2024-04-01 14:09:00,0,47.713
2024-04-01 14:10:00,0,48.327
2024-04-01 14:11:00,0,47.984
2024-04-01 14:12:00,0,48.221
2024-04-01 14:13:00,0,48.766
2024-04-01 14:14:00,0,48.388
2024-04-01 14:15:00,0,48.219
2024-04-01 14:16:00,0,49.35
2024-04-01 14:17:00,0,48.72
2024-04-01 14:18:00,0,48.628
2024-04-01 14:19:00,0,48.84
2024-04-01 14:20:00,0,49.459
2024-04-01 14:21:00,0,48.852
2024-04-01 14:22:00,0,49.037
2024-04-01 14:23:00,0,48.376
2024-04-01 14:24:00,0,48.728
2024-04-01 14:25:00,0,49.344
2024-04-01 14:26:00,0,50.02
2024-04-01 14:27:00,0,49.725
2024-04-01 14:28:00,0,48.881
2024-04-01 14:29:00,0,50.1
2024-04-01 14:30:00,0,49.532
2024-04-01 14:31:00,0,49.121
2024-04-01 14:32:00,0,49.243
2024-04-01 14:33:00,0,49.738
2024-04-01 14:34:00,0,49.654
2024-04-01 14:35:00,0,49.155
2024-04-01 14:36:00,0,49.653
2024-04-01 14:37:00,0,49.02
2024-04-01 14:38:00,0,49.294
2024-04-01 14:39:00,0,49.28
2024-04-01 14:40:00,0,49.213
2024-04-01 14:41:00,0,49.95
2024-04-01 14:42:00,0,49.07
2024-04-01 14:43:00,0,49.748
2024-04-01 14:44:00,0,49.231
2024-04-01 14:45:00,0,50.257
2024-04-01 14:46:00,0,50.466
2024-04-01 14:47:00,0,49.823
2024-04-01 14:48:00,0,49.543
2024-04-01 14:49:00,0,49.804
2024-04-01 14:50:00,0,49.615
2024-04-01 14:51:00,0,50.426
2024-04-01 14:52:00,0,49.175
2024-04-01 14:53:00,0,50.372
2024-04-01 14:54:00,0,49.997
2024-04-01 14:55:00,0,50.032
2024-04-01 14:56:00,0,50.05
2024-04-01 14:57:00,0,50.1
2024-04-01 14:58:00,0,50.248
2024-04-01 14:59:00,0,49.768
2024-04-01 15:00:00,0,49.449
2024-04-01 15:01:00,0,49.932
2024-04-01 15:02:00,0,50.553
2024-04-01 15:03:00,0,49.905
2024-04-01 15:04:00,0,50.588
2024-04-01 15:05:00,0,49.773
2024-04-01 15:06:00,0,50.241
2024-04-01 15:07:00,0,50.256
2024-04-01 15:08:00,0,49.716
2024-04-01 15:09:00,0,49.591
2024-04-01 15:10:00,0,49.823
2024-04-01 15:11:00,0,50.501
2024-04-01 15:12:00,0,49.611
2024-04-01 15:13:00,0,50.403
2024-04-01 15:14:00,0,50.016
2024-04-01 15:15:00,0,49.768
2024-04-01 15:16:00,0,50.136
2024-04-01 15:17:00,0,49.73
2024-04-01 15:18:00,0,50.576
2024-04-01 15:19:00,0,49.607
2024-04-01 15:20:00,0,49.954
2024-04-01 15:21:00,0,50.197
2024-04-01 15:22:00,0,50.523
2024-04-01 15:23:00,0,49.986
2024-04-01 15:24:00,0,50.15
2024-04-01 15:25:00,0,49.87
2024-04-01 15:26:00,0,49.903
2024-04-01 15:27:00,0,50.849
2024-04-01 15:28:00,0,49.904
2024-04-01 15:29:00,0,51.033
2024-04-01 15:30:00,0,50.329
2024-04-01 15:31:00,0,50.121
2024-04-01 15:32:00,0,50.042
2024-04-01 15:33:00,0,49.88
2024-04-01 15:34:00,0,50.127
2024-04-01 15:35:00,0,50.016
2024-04-01 15:36:00,0,50.273
2024-04-01 15:37:00,0,50.507
2024-04-01 15:38:00,0,50.961
2024-04-01 15:39:00,0,50.606
2024-04-01 15:40:00,0,50.349
2024-04-01 15:41:00,0,50.567
2024-04-01 15:42:00,0,50.259
2024-04-01 15:43:00,0,50.198
2024-04-01 15:44:00,0,50.31
2024-04-01 15:45:00,0,50.395
2024-04-01 15:46:00,0,50.489
2024-04-01 15:47:00,0,50.249
2024-04-01 15:48:00,0,50.963
2024-04-01 15:49:00,0,50.372
